A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26
1.03308,1.80498,-0.55688,0.71973,0.2256,-0.44304,-0.21522,0.50794,-0.91511,0.69038,0.20753,0.51476,0.83769,0.42746,0.50964,0.12291,22,17,6,18,8,19,1,4,26,24,3,25,11,5,2,12,7,13,10,23,9,15,16,14,21,20
-0.01231,0.5945,0.43591,0.71973,1.13867,0.05054,0.21483,0.50794,-1.33514,-0.91707,-0.55264,1.47604,0.40896,-0.21908,1.28876,0.12291,14,19,9,18,4,24,2,5,20,16,3,17,11,10,6,22,1,8,7,25,15,21,26,12,23,13
1.03308,0.5945,1.4287,0.27751,2.50828,0.05054,0.21483,0.50794,-0.07504,-0.51521,-0.55264,0.03413,2.12387,0.42746,1.67832,-1.11362,24,1,18,13,11,17,6,3,26,25,5,22,2,8,14,15,10,4,9,20,12,19,7,21,16,23
0.51038,0.5945,-0.06049,0.71973,1.13867,-0.44304,1.50499,0.87833,-0.91511,-0.51521,-1.31281,0.51476,-0.44849,-0.86563,0.50964,1.97771,11,20,10,19,12,18,4,5,26,8,6,13,15,16,9,17,2,1,3,21,7,22,23,25,24,14
1.03308,0.5945,-0.06049,-0.60692,-0.23094,1.5313,-0.64527,-0.60321,-0.07504,0.69038,-0.55264,-0.44651,-0.01976,0.42746,0.8992,0.74118,17,1,25,4,7,12,13,8,14,11,10,16,21,19,20,15,9,6,3,24,18,23,26,2,22,5
-0.535,-0.9186,-0.55688,-1.04914,-0.68748,0.54413,-0.21522,0.87833,-0.07504,-0.51521,-0.17256,0.03413,-0.44849,-0.21908,-0.26948,0.12291,22,7,15,5,11,23,2,3,4,13,12,17,19,18,1,20,6,9,8,21,10,24,26,14,25,16
1.55577,0.89712,-0.06049,-0.1647,-0.68748,-0.44304,0.21483,0.50794,1.18506,1.09224,0.20753,1.47604,-0.44849,-0.21908,0.50964,0.74118,25,22,1,16,2,17,3,14,13,11,4,15,23,19,8,21,7,18,5,12,10,24,26,9,20,6
1.03308,1.19974,0.43591,1.16195,0.68213,-0.44304,1.50499,0.13756,0.34499,1.09224,0.96769,-1.88843,-0.01976,2.3671,-0.65904,-2.35015,23,24,10,17,19,3,16,18,26,15,13,11,12,5,25,4,9,22,6,1,8,7,14,20,2,21
-1.0577,-1.52384,-1.05328,-1.04914,-1.14401,1.5313,-0.64527,-0.60321,0.34499,1.49411,-0.93272,0.51476,-1.30595,-0.86563,-1.04859,-0.49535,5,17,19,7,13,8,18,10,2,1,11,3,20,23,21,22,16,15,4,14,12,25,26,9,24,6
-1.58039,-1.22122,-1.54967,-1.49135,-1.14401,0.54413,0.21483,-0.97359,-0.07504,2.29783,-0.55264,0.03413,-1.30595,-0.86563,-1.43815,-0.49535,12,15,16,11,14,4,23,9,1,2,13,3,24,18,25,17,22,21,5,6,10,19,26,8,20,7
-0.01231,-0.61598,-0.06049,-0.60692,0.2256,0.05054,-0.21522,0.50794,0.34499,-0.51521,-0.17256,0.03413,-0.01976,-0.21908,-0.26948,0.12291,23,5,14,4,12,21,2,3,13,18,11,17,19,15,1,22,8,10,7,20,9,24,26,6,25,16
-0.535,-1.52384,-1.05328,-1.04914,-0.68748,0.54413,0.21483,0.87833,-0.07504,-0.51521,-0.55264,-0.44651,-0.44849,-0.21908,2.06787,0.12291,24,1,16,7,9,17,8,3,10,11,13,15,22,21,14,20,5,6,2,19,18,25,26,12,23,4
1.03308,1.19974,0.93231,1.16195,0.68213,0.05054,-0.64527,1.6191,0.34499,-0.51521,-0.55264,0.51476,0.40896,-0.21908,0.50964,-1.73188,23,12,14,4,13,22,9,3,21,16,5,15,11,8,1,19,6,7,10,20,2,26,25,18,24,17
-0.535,-0.31336,-0.55688,-0.60692,-0.68748,-0.44304,-0.64527,-0.23282,-0.49507,2.29783,0.58761,1.95668,-0.87722,-1.51217,-1.04859,-1.11362,7,25,3,20,6,10,9,18,13,1,4,2,17,16,22,24,12,23,8,5,11,19,26,14,21,15
1.03308,1.19974,0.93231,1.16195,-0.23094,0.05054,0.21483,0.87833,2.44516,-1.7208,0.20753,2.91795,-0.87722,-0.86563,0.12008,0.12291,23,24,1,19,2,22,3,16,12,8,4,5,17,15,11,21,6,20,7,9,14,25,26,13,18,10
1.55577,1.19974,2.91789,1.16195,2.50828,-1.92381,0.21483,-0.23282,-0.07504,0.69038,1.72786,0.9954,2.98133,0.42746,0.50964,-0.49535,22,20,12,18,11,8,13,9,26,24,3,16,1,7,21,10,17,15,19,14,4,6,2,23,5,25
4.16925,2.1076,3.41428,1.16195,0.68213,1.03772,1.07494,-0.23282,-0.91511,-1.31893,1.34777,-0.44651,2.98133,2.3671,-0.65904,-1.11362,22,17,16,21,19,11,14,9,26,24,8,20,2,5,18,7,12,15,13,10,6,3,1,23,4,25
1.03308,0.5945,1.4287,0.71973,1.13867,0.54413,-0.64527,0.50794,0.76503,-0.51521,0.20753,0.51476,1.26642,-0.21908,0.12008,0.12291,26,10,14,9,11,22,2,3,24,23,4,16,6,8,1,20,5,13,12,18,7,25,19,15,21,17
-0.535,-0.31336,-0.55688,-0.60692,-0.68748,-0.44304,-0.64527,0.13756,-0.07504,-0.91707,-0.17256,0.51476,-0.44849,-0.21908,0.12008,0.12291,18,16,8,15,4,23,1,10,3,17,9,14,21,20,2,24,7,11,6,19,13,22,26,5,25,12
-1.0577,-1.22122,-1.05328,-0.60692,-1.14401,-3.40457,-2.79554,0.13756,0.34499,-3.32825,-2.45306,-0.92715,-1.30595,-0.21908,-1.43815,0.12291,3,25,19,10,17,6,22,16,21,2,12,1,7,14,26,11,20,15,13,5,4,8,23,24,9,18
-1.58039,-1.22122,-1.05328,-1.93357,-1.14401,-0.44304,-1.50538,-1.34398,0.76503,-0.11335,-1.31281,0.9954,-1.30595,-0.86563,-0.65904,0.74118,4,21,16,14,12,19,15,9,3,2,6,1,18,23,20,22,13,10,5,11,7,25,26,17,24,8
2.07847,1.50236,1.4287,0.27751,0.2256,-1.92381,1.07494,-0.23282,0.76503,1.49411,1.72786,0.51476,-0.01976,-0.86563,-0.26948,-2.35015,23,25,6,19,11,3,22,15,26,12,4,9,8,7,24,17,20,21,14,1,2,16,13,10,5,18
0.51038,0.5945,0.93231,0.71973,2.96482,1.03772,0.21483,-0.23282,-0.49507,-0.91707,0.58761,-0.92715,1.26642,1.72055,1.67832,-0.49535,24,5,22,18,14,13,12,7,26,25,10,23,3,11,21,9,4,19,6,16,17,8,1,15,2,20
1.03308,0.5945,1.9251,0.71973,1.13867,-0.93663,-0.64527,-0.60321,-0.07504,0.69038,0.96769,0.51476,2.12387,-2.15872,-0.65904,-0.49535,10,20,13,16,17,14,7,6,26,22,2,11,1,5,21,24,12,8,15,9,4,18,3,19,23,25
-0.01231,-0.01074,0.43591,-0.1647,-0.23094,-0.44304,-0.64527,0.50794,1.18506,-0.91707,-0.55264,0.51476,-0.01976,1.07401,0.12008,0.12291,24,14,2,11,7,23,1,10,21,22,9,12,20,16,5,19,8,15,4,17,6,25,26,3,18,13
-0.01231,-0.01074,-0.06049,-0.1647,-0.23094,0.05054,-0.21522,1.24871,0.34499,-0.51521,-0.17256,0.03413,-0.01976,-0.21908,-0.26948,0.12291,23,6,11,3,12,22,4,2,14,16,10,18,17,13,1,20,7,8,9,21,5,25,26,15,24,19
-0.535,-0.31336,-0.55688,-0.60692,-0.68748,-1.43022,2.79515,1.24871,-1.75517,1.09224,-0.17256,-2.36907,-1.30595,1.07401,0.12008,0.12291,18,25,15,20,19,2,16,13,24,5,22,7,14,11,23,1,10,9,8,4,12,6,21,26,3,17
-0.01231,0.5945,-0.06049,0.27751,1.13867,0.54413,-1.07533,-0.23282,-0.91511,-0.51521,-0.55264,1.47604,1.26642,-0.21908,0.50964,1.97771,7,15,13,16,5,22,1,9,26,17,3,12,6,10,11,20,2,4,8,25,14,24,21,19,23,18
-0.535,-0.9186,-1.05328,0.27751,-0.68748,-1.92381,0.21483,0.50794,2.02513,-0.51521,-0.17256,3.39859,-1.30595,-0.21908,1.28876,0.12291,23,25,2,19,1,13,5,20,8,6,4,3,16,18,22,17,10,21,12,7,14,24,26,15,11,9
0.51038,1.19974,1.4287,1.16195,0.2256,0.54413,0.21483,-1.34398,1.18506,0.69038,-0.55264,-0.44651,-0.01976,-0.21908,0.12008,0.12291,24,6,23,2,9,15,21,3,8,14,7,16,20,11,19,17,18,10,5,13,12,25,26,1,22,4
-0.535,-0.01074,-0.55688,-0.1647,0.2256,0.05054,-0.21522,0.13756,1.18506,-0.11335,0.58761,0.51476,-0.01976,0.42746,0.8992,0.74118,25,13,4,12,1,19,2,9,15,21,8,17,23,20,10,22,6,18,5,14,11,24,26,3,16,7
-0.01231,-0.31336,0.93231,-0.60692,-0.23094,1.03772,-0.21522,-0.97359,1.18506,1.09224,-1.31281,-0.44651,-0.01976,-0.21908,0.12008,0.74118,21,8,23,2,7,13,18,5,12,9,6,10,22,16,20,17,15,11,3,19,14,25,26,1,24,4
-0.01231,-0.61598,-0.06049,1.16195,-0.23094,0.05054,-0.64527,1.24871,1.18506,-0.91707,-0.17256,0.9954,-0.87722,-0.21908,0.8992,1.97771,24,11,4,13,3,23,1,12,15,16,6,10,19,21,7,22,2,9,5,18,14,25,26,17,20,8
1.55577,0.5945,0.43591,-0.1647,-0.68748,0.54413,1.07494,-0.23282,-0.07504,-0.11335,1.34777,-1.40779,0.40896,2.3671,-0.26948,0.12291,25,23,14,19,18,4,16,15,26,21,13,17,10,7,20,5,8,22,11,3,9,2,6,12,1,24
-0.01231,0.89712,-0.06049,0.71973,0.68213,0.54413,-0.21522,-0.60321,1.18506,-1.31893,-0.17256,-0.92715,-0.01976,-0.21908,0.8992,0.12291,24,4,18,2,5,22,9,7,8,19,11,13,23,17,14,21,10,12,3,15,16,25,26,1,20,6
0.51038,0.5945,0.43591,0.71973,2.05175,0.05054,0.64489,0.13756,-0.91511,-0.51521,0.96769,0.03413,1.26642,-0.21908,-0.26948,0.12291,22,21,17,18,16,15,10,2,26,25,8,24,3,4,7,14,9,12,11,20,6,5,1,19,13,23
-1.58039,-1.22122,-1.54967,-1.93357,-1.14401,0.05054,-0.21522,0.13756,0.34499,-0.51521,-0.55264,0.9954,-0.87722,0.42746,-0.26948,0.74118,21,16,3,17,5,19,2,13,1,10,8,9,23,24,4,20,6,15,7,18,14,25,26,11,22,12
2.07847,0.89712,1.4287,0.27751,1.13867,0.05054,-0.21522,-0.60321,-0.07504,-0.11335,-0.93272,0.03413,1.26642,-1.51217,1.28876,-0.49535,14,5,22,8,12,20,11,4,25,19,2,17,3,9,15,24,10,1,7,21,13,23,18,6,26,16
-0.535,0.5945,-0.55688,0.71973,-0.68748,0.05054,-1.07533,0.50794,2.02513,-1.31893,-0.17256,0.9954,-1.30595,0.42746,2.06787,0.12291,23,17,7,15,4,21,3,10,8,11,9,5,20,24,18,22,6,19,2,14,13,25,26,12,16,1
1.55577,1.19974,1.9251,1.16195,2.05175,1.03772,-1.07533,0.50794,-0.49507,-0.51521,0.58761,0.03413,-0.01976,0.42746,1.67832,-2.96841,20,14,23,10,12,15,9,6,26,22,3,19,7,16,24,21,2,13,1,17,4,25,11,18,5,8
-0.535,-0.31336,-1.05328,-0.60692,-1.14401,-2.91098,-3.22559,0.50794,0.34499,-3.32825,-2.07297,-1.40779,-1.30595,-0.21908,-1.43815,0.12291,3,24,21,12,22,6,19,18,20,2,15,1,9,14,26,7,16,13,8,5,4,11,23,25,10,17
-1.0577,-0.9186,-0.55688,-1.04914,-0.68748,-0.44304,1.07494,-1.34398,0.76503,-0.11335,1.72786,0.03413,-0.87722,1.72055,-0.65904,-0.49535,22,25,6,21,18,4,20,10,26,17,11,12,16,15,24,7,14,23,9,1,3,5,13,8,2,19
-0.01231,-0.61598,0.43591,0.27751,0.68213,0.54413,1.07494,-0.23282,-0.49507,-0.51521,0.20753,0.51476,-0.01976,-0.86563,1.28876,-1.73188,16,19,20,17,6,10,9,5,25,14,8,23,15,13,21,26,1,3,2,7,11,24,18,12,22,4
-0.01231,0.5945,-0.06049,0.27751,0.2256,0.05054,0.21483,0.87833,0.76503,-0.11335,-0.93272,-0.44651,-0.44849,-0.86563,2.06787,0.12291,23,2,16,3,7,19,8,6,15,12,11,13,20,21,14,22,9,5,1,18,17,25,26,10,24,4
1.03308,0.5945,0.93231,2.4886,1.59521,0.54413,-1.07533,0.87833,-0.07504,0.28852,-0.17256,0.51476,-0.01976,-0.21908,0.8992,0.12291,21,7,17,9,12,22,2,4,20,14,8,18,13,16,3,19,1,6,5,23,11,25,26,15,24,10
-0.535,-0.61598,-0.06049,-0.60692,0.2256,1.03772,-1.93543,-0.23282,-0.91511,-0.11335,-0.93272,0.51476,-0.01976,-1.51217,0.12008,0.12291,1,17,24,14,18,19,9,8,22,3,11,5,7,15,12,25,2,4,6,20,13,21,23,16,26,10
-1.0577,-0.31336,-1.05328,-0.60692,-0.68748,-0.44304,-0.21522,1.98948,1.18506,-0.91707,-0.17256,-0.92715,-0.01976,-0.21908,-0.26948,0.12291,24,4,12,1,8,23,7,3,11,16,10,14,18,6,2,17,15,13,9,19,5,25,26,21,22,20
1.03308,0.89712,-0.55688,-0.1647,-0.68748,-0.44304,0.64489,0.50794,0.34499,1.09224,0.20753,-0.44651,-0.44849,0.42746,0.50964,0.74118,26,7,2,11,5,4,6,12,18,20,15,23,24,21,9,3,16,14,1,10,13,22,25,17,19,8
0.51038,0.89712,0.43591,1.16195,0.68213,1.03772,-1.93543,-0.97359,0.34499,0.28852,-1.69289,0.51476,-0.44849,-2.15872,-0.26948,0.74118,1,18,21,12,19,17,14,9,24,3,8,2,7,16,20,23,4,5,6,15,10,22,25,13,26,11
-0.535,-1.22122,-1.05328,-0.1647,-0.68748,0.05054,-0.21522,3.10063,-1.33514,-1.31893,-0.17256,0.03413,0.83769,-0.21908,-1.43815,0.12291,22,11,17,6,18,25,16,2,15,10,5,13,3,1,7,14,8,9,12,21,4,23,19,24,20,26
-1.0577,-1.22122,-1.05328,-1.93357,-1.14401,-0.93663,0.64489,-0.23282,0.34499,1.09224,0.96769,1.47604,-0.87722,0.42746,-0.65904,0.12291,23,26,1,22,5,3,11,16,12,7,8,9,21,19,20,15,18,24,14,2,4,10,25,13,6,17
1.03308,0.5945,-0.55688,-0.60692,-0.68748,0.05054,-0.21522,-0.23282,0.76503,0.69038,-0.17256,0.9954,-0.87722,0.42746,1.28876,0.74118,23,11,5,18,1,19,3,10,8,12,7,13,22,25,15,21,9,16,4,14,17,24,26,6,20,2
-0.01231,0.5945,-0.06049,0.27751,0.68213,0.05054,-0.64527,-0.60321,-0.07504,-0.91707,-0.17256,0.51476,-0.44849,-0.21908,1.67832,0.12291,18,6,16,12,4,21,5,8,10,14,9,13,20,24,17,25,7,11,2,19,15,23,26,3,22,1
-0.535,-1.22122,-0.55688,-1.93357,-0.68748,0.54413,-0.21522,0.13756,0.34499,-0.51521,-0.17256,0.03413,0.83769,-0.21908,-0.26948,-0.49535,22,7,16,3,13,21,4,2,14,19,10,17,15,5,1,23,9,11,12,20,8,24,25,6,26,18
-1.0577,-1.22122,-1.54967,-0.60692,-1.14401,-3.40457,-2.79554,0.13756,0.34499,-3.32825,-2.45306,-0.92715,-1.30595,-0.21908,-1.43815,0.12291,3,25,19,10,17,5,22,16,21,2,12,1,7,14,26,11,20,15,13,6,4,9,23,24,8,18
-0.535,-0.61598,-0.06049,-0.60692,-0.23094,0.05054,0.21483,-0.60321,0.34499,0.69038,-0.17256,0.03413,-0.01976,-0.21908,-0.26948,0.12291,22,10,17,4,6,13,14,3,2,15,9,20,24,18,8,21,19,12,5,16,11,23,26,1,25,7
-1.0577,-1.22122,-1.05328,-1.49135,-0.68748,0.05054,-0.21522,0.13756,0.76503,-0.51521,-0.17256,0.03413,-0.44849,-0.21908,0.50964,1.35944,24,2,12,10,3,19,1,13,4,17,14,15,22,21,7,20,9,11,5,18,16,25,26,8,23,6
0.51038,0.89712,0.43591,0.71973,1.13867,1.03772,-0.64527,0.50794,-0.49507,-0.51521,0.58761,-0.44651,1.26642,0.42746,1.67832,-2.96841,21,12,23,8,11,15,13,10,26,24,3,18,4,6,22,20,2,14,1,16,5,25,9,19,7,17
2.07847,1.50236,1.4287,0.27751,0.2256,1.03772,0.21483,-0.23282,-0.07504,-0.11335,-0.93272,-1.40779,1.26642,0.42746,0.50964,0.74118,22,1,25,3,11,13,12,6,26,24,7,19,8,2,10,5,15,4,9,20,16,17,21,14,18,23
0.51038,0.89712,-0.06049,-0.1647,0.2256,1.03772,-0.64527,0.13756,0.34499,0.69038,-0.17256,-0.44651,0.40896,-0.21908,2.06787,0.74118,23,1,21,3,5,14,8,6,13,12,11,15,18,19,17,22,9,10,2,20,16,25,26,7,24,4
-0.535,0.29188,-0.06049,0.71973,-0.23094,0.54413,-0.21522,1.6191,0.34499,-0.91707,-0.17256,0.51476,-0.01976,-0.21908,0.50964,0.74118,22,5,12,7,9,24,3,4,14,15,10,17,16,13,1,20,2,6,8,21,11,25,26,19,23,18
-0.01231,-0.31336,0.43591,-0.60692,0.68213,0.54413,-1.07533,0.50794,-0.49507,-0.91707,0.20753,0.9954,0.40896,-0.86563,0.50964,0.74118,11,17,13,15,9,24,2,7,20,18,4,14,8,12,3,25,1,6,5,21,10,22,23,16,26,19
-1.0577,0.29188,-1.05328,0.27751,-1.14401,3.01207,-1.93543,1.24871,-0.49507,1.89597,-1.31281,1.47604,-0.87722,-1.51217,-1.43815,0.12291,3,24,21,11,14,9,17,12,16,1,6,2,4,13,25,20,7,10,8,15,5,19,26,23,22,18
-0.01231,-0.01074,-0.06049,-0.1647,-0.68748,0.54413,0.64489,-1.34398,0.76503,2.29783,-0.55264,-0.92715,-1.30595,-0.21908,-1.04859,0.12291,20,15,17,7,10,3,23,11,1,2,16,6,24,18,25,9,22,19,5,4,13,21,26,12,14,8
-0.01231,-0.61598,-0.06049,-0.60692,-0.23094,0.05054,-0.21522,0.87833,0.76503,-0.51521,-0.17256,-1.40779,-0.44849,-0.21908,-0.26948,-0.49535,24,3,16,1,6,21,5,7,8,10,15,9,22,17,2,12,18,11,4,14,20,25,26,13,23,19
-1.0577,-0.31336,-0.55688,-0.60692,-0.23094,-0.44304,-0.21522,0.13756,-0.07504,-0.91707,-0.55264,-0.44651,-0.01976,-0.86563,0.50964,0.12291,19,2,16,3,9,22,5,8,13,15,10,14,20,17,6,23,12,1,7,21,18,24,25,4,26,11
-0.01231,-0.61598,0.93231,-0.60692,0.2256,-0.44304,-0.64527,-0.60321,-0.49507,0.28852,0.96769,0.9954,1.69515,-2.15872,-0.65904,0.12291,6,22,11,21,17,20,7,4,26,16,2,10,1,3,18,25,8,13,15,12,5,19,9,14,24,23
-0.535,-0.01074,-0.06049,-0.1647,-0.23094,2.51848,-2.36548,-0.60321,-1.33514,0.69038,-1.69289,0.51476,-0.44849,-1.51217,-0.26948,0.12291,1,24,26,13,19,12,16,9,22,2,10,3,4,14,25,18,5,6,7,17,8,15,20,21,23,11
-0.535,-0.61598,-0.55688,-0.60692,-0.68748,0.05054,0.21483,0.13756,-0.49507,-0.51521,0.20753,-0.44651,1.26642,0.42746,-0.65904,-1.73188,22,19,20,8,18,9,12,4,25,24,7,23,6,1,5,13,16,17,10,14,2,15,3,21,11,26
1.03308,0.89712,1.9251,0.71973,2.05175,-1.92381,-0.21522,-0.23282,-0.07504,0.69038,1.72786,0.9954,1.69515,0.42746,-0.26948,-0.49535,21,24,9,17,11,8,15,10,26,23,1,16,3,5,22,13,18,20,19,12,2,6,4,14,7,25
2.07847,2.1076,0.93231,1.16195,0.2256,-0.93663,1.07494,0.50794,-0.91511,1.49411,-0.55264,-1.88843,0.40896,1.07401,0.12008,0.12291,25,17,14,7,11,2,13,12,26,16,9,20,15,3,21,1,18,10,8,6,19,5,24,22,4,23
1.03308,1.50236,-0.06049,0.71973,0.2256,0.54413,-1.07533,-0.23282,-0.91511,0.28852,0.96769,1.47604,0.40896,0.42746,1.67832,1.35944,16,25,6,24,5,19,3,7,26,14,2,15,9,17,21,22,1,20,4,18,11,13,23,8,12,10
1.03308,0.89712,1.4287,1.16195,1.59521,0.54413,-1.07533,0.87833,-0.07504,-0.51521,-0.17256,-0.92715,-0.01976,0.42746,1.67832,0.74118,24,1,22,5,8,18,4,6,23,20,9,17,12,16,11,13,3,7,2,21,15,25,26,14,19,10
-1.0577,-1.22122,-1.05328,-1.93357,-1.14401,-0.93663,0.64489,-0.60321,-0.91511,0.69038,0.58761,0.03413,0.40896,-0.21908,-1.43815,0.12291,16,26,14,20,19,3,21,4,11,12,7,18,13,2,24,15,22,23,17,8,5,1,6,10,9,25
-0.535,-0.9186,-0.55688,-1.04914,-0.68748,1.03772,1.07494,-0.60321,-1.33514,-1.31893,0.96769,-0.44651,1.26642,1.72055,-1.43815,0.12291,14,24,18,23,19,10,17,8,26,20,13,16,5,4,22,11,9,21,12,7,6,1,2,15,3,25
-0.535,0.29188,-0.06049,0.27751,1.13867,0.54413,-0.21522,-0.23282,-1.75517,-0.11335,0.20753,0.03413,0.83769,1.07401,0.12008,-0.49535,16,21,20,22,14,18,8,2,26,25,7,24,6,4,9,11,3,17,12,23,15,5,1,10,13,19
1.03308,0.5945,1.9251,1.16195,2.96482,0.54413,-0.21522,0.13756,-0.07504,-0.51521,-0.17256,0.03413,2.12387,0.42746,2.06787,-2.96841,23,4,21,14,10,15,11,6,26,25,2,18,1,13,20,17,8,7,5,16,9,24,3,22,12,19
1.03308,-0.01074,1.9251,-0.1647,1.59521,-1.43022,-0.21522,-0.60321,-0.07504,0.69038,1.34777,1.47604,2.12387,-1.51217,-0.26948,-0.49535,16,24,5,20,8,10,11,6,26,21,2,13,1,4,22,23,14,15,19,9,3,12,7,17,18,25
-0.01231,0.29188,-0.06049,0.27751,0.2256,0.05054,-0.21522,-0.23282,1.18506,1.09224,0.58761,0.51476,-0.44849,0.42746,0.50964,-0.49535,25,19,5,15,2,13,6,10,14,17,7,18,23,21,12,20,11,22,4,9,8,24,26,1,16,3
1.03308,1.19974,1.4287,1.16195,2.50828,-0.93663,0.21483,-0.60321,-0.49507,-0.11335,0.58761,0.51476,1.69515,0.42746,0.50964,-2.35015,22,19,18,16,8,9,11,7,26,25,2,23,3,5,21,12,15,10,14,13,4,17,1,20,6,24
2.07847,0.89712,1.4287,0.71973,0.2256,-1.92381,1.07494,-0.60321,0.76503,1.09224,2.10794,-0.92715,-0.87722,1.72055,-0.26948,-1.73188,22,24,8,19,16,3,21,15,26,17,7,10,13,12,25,6,20,23,14,2,4,5,9,11,1,18
-0.01231,0.29188,-0.06049,0.27751,-0.23094,-0.44304,0.21483,-0.23282,-1.75517,-0.51521,0.58761,0.03413,2.12387,0.42746,-1.43815,0.12291,15,23,12,20,17,13,10,5,25,24,7,21,2,3,9,11,14,18,16,19,6,4,1,22,8,26
1.03308,-0.01074,1.4287,0.27751,1.13867,-0.44304,-0.64527,0.13756,0.34499,-0.11335,-0.55264,0.03413,-0.01976,-1.51217,0.50964,-1.11362,18,8,19,4,13,21,7,5,22,17,2,15,10,16,11,24,9,1,6,20,14,25,23,3,26,12
-0.01231,-0.9186,-0.55688,0.27751,-0.68748,0.05054,-0.21522,3.47102,-1.33514,-1.31893,-0.17256,0.03413,1.26642,-0.21908,-1.43815,0.12291,22,10,15,6,17,24,16,2,18,11,5,14,3,1,7,12,9,8,13,21,4,23,19,25,20,26
-0.01231,0.29188,-0.06049,0.27751,0.68213,0.05054,1.07494,1.24871,-0.07504,-0.11335,-0.55264,-0.92715,-0.01976,-1.51217,1.28876,1.97771,22,2,17,6,9,18,5,7,23,10,8,14,13,15,12,20,3,1,4,16,19,26,24,21,25,11
-0.01231,-0.01074,-0.06049,-0.1647,-0.23094,0.54413,-0.21522,1.24871,-0.07504,0.69038,-0.17256,0.03413,-0.01976,-0.21908,-0.26948,0.12291,23,5,15,3,13,21,4,2,14,12,10,20,17,11,1,18,6,9,7,22,8,24,26,16,25,19
-0.01231,0.29188,-0.06049,0.27751,0.2256,0.05054,-0.21522,1.6191,-0.49507,-0.91707,-0.93272,-0.92715,-0.01976,-0.86563,-0.26948,0.12291,20,5,17,2,15,23,9,4,18,12,10,14,11,6,1,16,7,3,8,22,13,24,25,19,26,21
