A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,11.35782,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,1.14732,1.35009,9,1,10,11,2,12,3,4,5,6,15,7,13,14,8
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,3.37357,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,4.54606,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,1.2484,0.04121,12,1,2,14,3,8,4,9,5,10,13,6,15,7,11
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,3.37357,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,4.54606,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,1.26121,0.04442,8,1,9,10,2,3,4,5,11,6,12,13,14,15,7
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,8.0,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,4.54606,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,1.30537,0.03102,7,8,9,10,11,12,1,2,3,13,15,4,5,14,6
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,11.35782,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,6.50641,-0.06214,-0.93517,0.82378,0.25064,1,2,9,10,3,4,5,11,6,12,13,14,7,15,8
-0.40733,0.40733,-0.38128,3.4641,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,4.54606,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,1.22906,0.04579,1,2,8,15,3,4,5,6,7,9,14,10,11,12,13
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,6.50641,-0.06214,-0.93517,1.20774,0.13869,1,10,11,12,2,3,4,5,13,6,15,7,8,14,9
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,4.3589,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,4.54606,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,1.23345,0.03067,1,9,10,11,2,3,15,4,12,5,13,6,8,14,7
2.455,-2.455,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,4.3589,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,4.3589,-0.23856,-0.15369,-0.06214,-0.93517,-0.10012,0.9348,13,6,7,14,1,2,15,8,9,10,11,12,3,4,5
-0.40733,0.40733,-0.38128,3.4641,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,4.3589,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-1.42241,-0.15657,7,1,8,2,3,4,9,5,13,10,14,11,6,12,15
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,4.3589,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,4.54606,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,1.22326,0.05903,1,2,9,10,3,15,4,13,5,11,14,6,12,7,8
-0.40733,0.40733,2.62274,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,6.01189,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-2.6193,0.75766,8,1,9,2,14,15,10,3,11,4,12,13,5,6,7
2.455,-2.455,2.62274,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,8.0,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-1.27511,-0.97574,8,9,15,10,11,1,2,3,4,12,5,6,13,14,7
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,4.75777,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,2.18581,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-0.33639,-1.57345,12,1,13,2,8,3,9,10,11,14,15,4,5,6,7
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,4.3589,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,-1.54232,-0.23355,1,13,4,5,6,11,14,7,15,8,9,12,2,10,3
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,4.04145,8.0,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-1.27511,-0.97574,15,1,8,2,9,3,4,5,10,11,6,7,12,13,14
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,4.3589,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,-1.43539,-0.17542,1,2,3,13,4,5,6,7,8,14,15,9,10,11,12
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,4.19183,-0.15369,-0.06214,-0.93517,1.77817,-1.56451,1,2,10,3,11,4,12,13,14,5,15,6,7,8,9
2.455,-2.455,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,11.35782,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,6.50641,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,0.99815,0.63297,-1.58444,8,1,2,3,9,4,10,5,11,6,12,15,13,7,14
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,4.3589,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,11.35782,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,1.04456,1.31816,8,1,9,15,2,10,11,3,12,13,14,4,5,6,7
2.455,-2.455,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,7.14143,-0.24744,-0.125,2.18581,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,-0.5157,-1.53689,1,8,9,5,2,10,11,12,13,15,6,3,4,14,7
2.455,-2.455,-0.38128,-0.28868,-0.21018,5.61249,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,6.50641,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,1.04037,-1.60903,8,9,13,14,1,2,15,7,11,12,10,3,4,5,6
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,4.19183,-0.15369,-0.06214,-0.93517,1.71655,-1.57697,1,15,7,2,10,3,11,4,8,5,12,13,6,9,14
