caseid,linksrechts_parteien_1,linksrechts_parteien_2,linksrechts_parteien_3,linksrechts_parteien_4,linksrechts_parteien_5,linksrechts_parteien_6,linksrechts_selbst,erststimme_BTW21,zweitstimme_BTW21,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,coalition_8,coalition_9,klimawandel_parteien_1,klimawandel_parteien_2,klimawandel_parteien_3,klimawandel_parteien_4,klimawandel_parteien_5,klimawandel_parteien_6,klimawandel_parteien_7,klimawandel_selbst,immigration_parteien_1,immigration_parteien_2,immigration_parteien_3,immigration_parteien_4,immigration_parteien_5,immigration_parteien_6,immigration_parteien_7,immigration_selbst,corona_parteien,kandidateneinstufungen_1,kandidateneinstufungen_2,kandidateneinstufungen_3,kandidateneinstufungen_4,kandidateneinstufungen_5,kandidateneinstufungen_6,education_paul_recode,age,WestOst,hinc,Pos. of LINKE in Ranking,Pos. of GRUENE in Ranking,Pos. of SPD in Ranking,Pos. of CDU/CSU in Ranking,Pos. of FDP in Ranking,Pos. of AFD in Ranking
893.0,7,8,3,6,3,2,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,3,4,4,5,5,3,4,3,3,7,1,5,5,3,4,3,1,7,4,-2,-2,3,0,-2,2,0,5,67.0,WEST,6,3,2,1,5,4,6
932.0,6,6,6,6,6,3,6,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,2,3,2,2,1,1,4,4,5,5,5,3,4,1,3,4,2,5,5,3,5,2,3,7,4,3,0,5,5,2,5,1,2,61.0,WEST,977,4,1,2,5,3,6
990.0,5,5,4,5,3,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,4,2,4,3,1,1,3,4,5,5,5,4,5,2,4,6,4,5,5,3,5,2,3,7,4,2,0,3,3,1,3,0,2,64.0,WEST,6,3,1,2,4,5,6
1007.0,6,6,3,977,7,4,3, WEISS NICHT,SPD,4,4,4,3,1,1,4,4,4,5,977,977,977,2,977,6,3,3,977,3,977,4,977,7,4,1,-4,977,3,3,977,1,5,26.0,WEST,977,4,2,1,5,3,6
1131.0,9,977,977,977,977,2,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,5,3,4,7,7,4,4,1,4,7,4,2,2,2,2,2,2,7,6,0,0,3,-3,-4,3,1,4,49.0,WEST,11,3,5,1,4,2,6
1154.0,6,7,4,6,3,1,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,2,2,1,1,5,2,4,4,4,5,5,1,5,7,4,5,6,3,3,1,2,7,5,2,-3,1,0,0,3,1,3,44.0,WEST,6,5,4,1,3,2,6
1248.0,5,6,6,7,6,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,3,3,3,3,3,3,3,3,4,3,5,3,3,4,3,4,3,4,4,4,4,3,3,3,-1,-1,-1,0,-1,1,0,5,34.0,OST,5,4,2,3,1,5,6
1252.0,8,8,4,6,4,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,2,4,5,7,7,3,7,1,2,7,2,7,7,3,5,2,1,7,1,0,-5,3,4,-4,4,-2,3,62.0,WEST,7,3,1,2,5,4,6
1296.0,1,1,1,1,1,1,1,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,3,3,3,1,1,4,3,3,5,5,5,3,1,5,977,4,977,977,977,977,977,977,977,3,2,-1,3,1,-1,977,1,4,50.0,OST,977,2,5,1,3,4,6
1311.0,8,7,4,7,6,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,2,2,1,1,3,5,5,6,6,4,7,4,3,7,3,5,5,3,4,4,2,7,4,2,-1,4,1,-1,3,1,5,44.0,WEST,5,3,2,1,5,4,6
1407.0,7,7,4,8,4,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,2,2,3,4,1,1,5,4,5,6,6,3,5,1,2,7,2,977,977,977,977,3,1,7,977,3,-5,-5,4,1,977,977,3,18.0,WEST,977,3,1,2,5,4,6
1417.0,11,11,7,9,5,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,3,3,1,7,7,4,5,7,6,1,5,4,3,4,3,3,7,7,5,-2,-5,-4,-5,-5,-5,-4,3,59.0,WEST,977,4,3,1,5,2,6
1521.0,9,8,9,8,6,10,10,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,3,4,5,4,1,1,3,3,5,5,5,2,5,4,3,7,4,5,6,5,5,5,5,6,1,-1,3,4,-2,0,-1,1,6,35.0,WEST,7,5,1,3,2,4,6
1555.0,1,3,10,6,1,5,9,DIE KANDIDATIN BZW. DEN KANDIDATEN DER AFD,SPD,4,2,1,1,3,2,1,1,1,4,4,4,4,4,4,4,4,2,2,6,977,1,2,7,7,0,-5,4,-5,-5,977,0,3,39.0,WEST,7,3,6,1,2,4,5
1590.0,8,11,11,7,9,2,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER AFD,SPD,5,5,5,5,5,4,5,5,5,7,6,6,7,4,7,7,7,7,5,7,6,5,977,7,7,3,2,4,2,5,3,-2,6,34.0,WEST,9,3,4,1,2,5,6
1642.0,8,8,5,7,4,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,1,3,2,1,1,3,4,5,7,7,4,6,3,3,7,3,7,7,4,7,3,1,7,4,2,-2,3,3,-2,2,-2,3,51.0,OST,7,2,3,1,5,4,6
1651.0,5,6,4,4,4,4,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,1,1,1,1,1,3,3,6,6,2,3,3,3,977,3,5,3,4,5,3,4,977,5,3,-5,5,2,5,2,2,2,60.0,WEST,5,4,2,1,3,5,6
1657.0,8,8,4,6,4,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,3,3,3,1,1,3,5,5,6,6,2,7,1,1,7,1,5,5,3,6,3,2,7,4,3,-2,4,3,-1,3,-2,5,49.0,WEST,8,1,3,2,4,5,6
1693.0,7,7,4,7,6,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,3,1,1,1,2,3,5,5,6,4,7,1,1,7,3,3,5,3,6,3,1,7,3,3,-5,2,3,-3,3,-5,6,30.0,WEST,8,3,2,1,4,5,6
1856.0,9,10,5,7,2,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,3,1,2,1,1,2,1,3,6,7,4,7,1,3,7,3,5,5,3,5,1,2,7,4,-2,-2,3,-3,-3,0,3,4,57.0,OST,977,4,5,1,2,3,6
1931.0,8,9,4,6,3,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,SPD,2,1,3,2,1,1,5,3,4,5,5,4,6,2,2,7,3,5,5,3,4,2,1,7,4,-2,-5,4,4,1,4,0,6,72.0,WEST,10,4,2,1,5,3,6
1957.0,8,9,5,8,5,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,1,1,1,1,4,5,4,6,6,2,6,2,1,4,5,5,5,4,4,1,2,7,7,-2,0,5,-1,3,2,-1,5,50.0,WEST,9,2,4,1,6,5,3
2009.0,6,7,4,5,3,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,2,2,3,3,1,1,5,4,5,5,6,3,4,1,4,7,3,5,5,4,4,3,2,7,4,1,-4,3,2,0,0,0,5,27.0,WEST,6,5,2,1,4,3,6
2019.0,7,8,4,5,5,4,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,3,3,1,1,3,2,3,5,4,3,3,3,2,5,4,6,3,3,2,3,2,7,1,-4,-3,5,3,-3,-3,2,6,45.0,WEST,3,2,4,1,5,3,6
2029.0,977,977,6,977,977,977,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,4,5,1,2,1,977,977,977,977,977,977,977,6,5,5,5,5,5,5,5,5,5,5,5,0,-2,0,3,2,41.0,WEST,3,6,5,1,3,2,4
2043.0,4,6,3,6,4,5,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,3,2,3,2,2,4,3,2,2,2,3,5,5,3,2,4,4,4,4,5,5,3,4,4,0,0,-2,2,0,-1,0,5,41.0,WEST,3,3,4,1,2,5,6
2086.0,7,8,4,6,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,4,5,5,7,7,3,6,1,3,7,3,6,6,2,5,2,1,7,2,-1,-3,4,1,-1,3,1,5,28.0,WEST,10,2,3,1,4,5,6
2146.0,11,11,6,11,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,2,2,1,1,1,2,2,4,6,4,4,4,1,7,7,4,3,4,5,6,5,7,7,5,5,-5,5,3,5,5,-2,3,58.0,WEST,11,5,2,1,4,3,6
2149.0,8,9,4,8,4,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,4,5,5,6,6,4,5,2,1,7,3,5,6,4,6,2,1,7,3,1,-4,2,2,-3,3,-1,5,26.0,WEST,10,4,2,1,5,3,6
2165.0,7,7,6,5,6,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,5,4,4,5,5,4,5,4,5,5,4,4,4,5,6,4,5,5,4,5,4,4,7,5,3,-2,3,2,2,3,4,6,20.0,OST,12,5,3,2,4,1,6
2166.0,1,2,1,2,1,1,1,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,3,2,4,3,1,1,4,3,4,2,2,3,3,1,1,7,2,2,2,1,1,1,1,7,1,3,5,5,2,2,3,3,3,46.0,WEST,10,5,4,1,2,3,6
176.0,7,7,6,6,6,1,10,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,5,1,1,1,4,2,1,1,1,4,4,4,4,1,4,7,7,5,5,4,4,1,4,7,7,0,1,1,-5,-5,-5,-5,3,60.0,WEST,4,5,6,3,1,4,2
253.0,6,7,3,6,2,1,8,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,2,5,4,4,5,5,2,1,1,5,5,2,4,1,2,7,4,4,4,1,4,1,1,7,7,1,-5,1,-4,3,-2,1,3,63.0,WEST,3,6,4,5,1,2,3
331.0,7,7,7,7,7,7,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,CDU/CSU,5,4,4,3,1,3,4,3,3,7,7,7,7,7,7,977,4,5,5,5,5,5,5,977,7,5,-5,5,-5,5,977,5,3,73.0,OST,4,5,3,2,1,4,6
338.0,3,3,5,5,5,2,2,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,1,5,5,5,1,1,1,1,1,6,5,4,4,1,3,3,6,2,3,4,3,3,7,7,2,1,3,1,2,2,2,3,3,62.0,WEST,6,5,3,4,1,2,6
346.0,8,7,3,7,6,6,8,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,3,5,3,4,1,1,1,1,2,7,6,3,4,1,4,977,7,7,7,3,4,1,2,7,7,0,-5,2,-5,3,-4,0,5,41.0,OST,2,5,4,2,1,3,6
827.0,9,10,4,8,6,1,8,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,4,5,4,5,1,2,4,2,4,6,6,4,5,1,2,5,6,6,6,4,4,3,3,7,5,1,1,4,2,3,3,5,3,58.0,WEST,5,6,4,2,3,1,5
1165.0,10,10,6,7,5,3,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,4,2,4,2,1,1,2,1,2,5,5,4,6,1,3,7,3,5,5,4,3,2,4,7,5,3,-3,1,1,4,-1,-5,2,60.0,WEST,6,5,2,3,1,4,6
1183.0,6,6,8,6,4,3,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,3,4,3,3,1,1,4,1,3,977,977,977,977,977,977,977,2,5,5,2,2,4,2,6,4,-2,-3,2,0,3,0,0,3,74.0,WEST,4,4,3,5,1,2,6
1286.0,6,8,3,7,3,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,CDU/CSU,3,3,5,5,1,1,2,1,2,4,5,4,6,1,2,7,3,5,6,2,6,2,1,7,5,3,2,4,2,5,4,2,5,50.0,WEST,7,5,2,4,1,3,6
1388.0,6,6,7,5,3,1,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,CDU/CSU,5,4,1,1,4,4,1,3,1,5,4,3,2,1,5,6,6,5,5,3,3,4,4,6,6,-1,5,4,-5,5,-5,5,6,32.0,OST,4,2,6,3,1,4,5
1414.0,8,8,4,7,4,2,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,CDU/CSU,3,3,3,3,1,1,3,3,3,5,4,4,6,2,2,7,4,4,4,3,4,2,2,7,4,0,-1,-2,1,-4,1,-3,6,45.0,WEST,6,5,2,3,4,1,6
1437.0,8,7,4,6,7,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,CDU/CSU,4,4,4,4,1,1,3,3,3,5,4,5,5,2,4,977,3,977,977,977,977,977,977,977,2,2,3,4,4,2,2,2,5,27.0,WEST,9,5,2,3,1,4,6
1458.0,6,6,6,6,6,2,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,5,5,5,5,1,1,3,1,2,5,6,4,2,1,7,7,4,7,7,4,4,4,7,7,7,2,-2,1,-1,3,2,2,3,50.0,WEST,5,5,4,3,1,2,6
1484.0,8,9,5,6,5,1,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,4,4,3,4,5,5,1,1,1,5,5,3,4,1,4,7,6,5,5,3,4,2,1,7,6,5,-5,-3,0,5,-3,2,5,41.0,WEST,11,6,3,5,1,2,4
1527.0,8,9,4,5,1,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,4,3,3,3,1,1,2,3,2,5,5,4,3,1,1,7,4,4,5,3,5,1,1,7,6,0,-5,2,-5,1,-3,0,6,57.0,OST,7,2,5,1,4,3,6
1559.0,7,8,4,5,3,5,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,3,5,1,1,1,1,1,1,1,2,3,3,4,1,3,7,4,5,5,3,3,2,3,7,7,-2,-2,1,0,3,0,1,3,34.0,OST,11,4,5,3,1,2,6
1816.0,5,5,6,4,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,5,5,4,4,1,1,1,1,1,3,3,4,4,1,6,7,4,4,5,4,4,4,6,7,3,4,1,0,0,-2,2,1,5,72.0,WEST,977,5,2,4,1,3,6
1859.0,6,7,4,6,3,1,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,4,4,3,3,1,2,2,1,1,4,4,2,5,1,2,7,4,4,4,2,5,2,1,7,4,2,-1,-3,-4,4,0,2,5,58.0,WEST,6,6,4,3,1,2,5
1869.0,3,4,6,6,2,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,5,2,5,2,1,1,2,3,3,2,2,5,4,1,6,3,1,5,3,4,4,3,1,7,5,0,-3,0,4,4,4,-3,2,72.0,WEST,5,5,2,3,1,4,6
1919.0,4,5,5,2,8,7,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,CDU/CSU,4,4,4,4,1,1,4,4,2,3,5,7,5,4,4,1,5,4,6,7,5,4,6,1,5,-1,-1,5,0,4,3,2,5,28.0,WEST,3,5,3,1,2,4,6
1954.0,5,5,1,5,1,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,4,1,5,3,1,1,1,1,1,5,6,3,6,2,1,7,3,6,6,3,5,2,1,7,4,4,-2,1,4,1,4,-3,3,40.0,WEST,977,5,2,3,1,4,6
1982.0,6,8,8,6,6,5,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,5,3,1,4,4,2,4,2,3,6,5,7,4,4,4,4,7,3,4,7,4,4,5,5,7,5,1,5,2,3,2,2,6,36.0,OST,11,3,6,1,2,4,5
2095.0,7,6,4,8,3,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,CDU/CSU,4,5,3,4,1,1,3,1,2,3,3,3,3,2,2,7,4,2,4,2,3,2,1,7,4,1,-4,0,-5,2,1,3,3,48.0,WEST,8,5,4,3,2,1,6
257.0,6,6,5,6,5,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN VON DIE LINKE,GRUENE,3,2,4,2,1,1,2,4,4,4,5,4,7,1,4,6,1,4,5,3,5,3,3,7,4,0,-1,-2,1,-4,4,-1,6,40.0,OST,3,1,2,4,3,5,6
354.0,5,5,4,5,5,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER CDU/CSU,GRUENE,4,2,5,3,1,1,2,1,3,7,7,4,6,1,6,7,1,4,4,3,5,3,6,7,1,2,-4,0,1,0,2,-2,3,68.0,WEST,977,5,1,3,2,4,6
484.0,6,7,4,6,3,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,1,3,4,4,1,1,4,3,4,5,6,4,5,2,4,7,3,5,6,3,5,3,2,7,3,2,-3,1,4,1,3,1,6,44.0,WEST,5,5,1,3,4,2,6
521.0,6,6,5,7,3,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,1,1,4,4,1,1,4,5,5,5,5,3,5,1,2,7,2,4,4,3,5,1,1,7,1,4,-1,3,5,1,5,-2,2,38.0,WEST,5,5,1,2,3,4,6
542.0,7,8,4,7,3,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,4,3,4,3,1,1,2,2,2,3,3,5,4,2,5,5,3,4,4,3,4,2,3,6,4,1,1,0,0,1,2,0,5,70.0,WEST,4,3,1,4,2,5,6
567.0,7,8,5,6,3,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,4,2,2,2,1,1,3,4,5,6,5,4,7,1,2,7,2,6,7,3,6,2,1,7,3,4,-2,4,4,3,4,1,3,44.0,WEST,9,4,1,2,3,5,6
628.0,8,9,4,6,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,1,1,1,1,1,1,4,5,5,7,7,3,7,1,2,7,3,6,6,4,4,1,1,7,3,4,-5,2,4,-4,5,0,5,32.0,WEST,8,3,1,2,5,4,6
684.0,8,8,5,6,5,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,2,1,2,1,1,1,3,3,5,5,5,3,4,1,2,7,2,5,5,3,3,2,977,7,1,3,-3,2,2,0,4,0,3,61.0,WEST,3,3,1,2,5,4,6
712.0,6,6,6,6,7,3,6,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,3,3,5,3,1,1,3,3,4,4,4,4,977,3,977,977,2,5,6,4,4,3,4,7,5,3,-2,1,1,3,977,-2,3,50.0,WEST,6,5,1,3,2,4,6
716.0,4,4,4,4,4,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,GRUENE,3,3,3,3,2,2,2,3,3,4,4,5,4,3,3,2,4,3,5,3,5,5,3,4,3,0,-2,-3,1,-1,-1,-2,5,39.0,WEST,8,5,4,1,2,3,6
751.0,6,6,4,9,5,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,GRUENE,2,1,3,2,1,1,2,4,4,7,7,5,6,1,5,7,3,4,4,3,5,3,3,7,2,-3,-4,0,3,-5,4,-3,6,24.0,WEST,11,3,1,2,5,4,6
958.0,10,8,3,8,4,1,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,GRUENE,2,1,2,2,1,1,4,2,5,6,6,5,5,2,977,7,3,5,5,3,2,2,1,7,2,2,-3,3,3,-1,5,1,6,58.0,OST,9,5,1,2,4,3,6
995.0,6,7,6,7,5,3,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,GRUENE,2,1,4,3,1,1,3,3,5,4,4,2,6,1,4,7,1,3,4,2,1,1,2,7,1,4,-1,5,5,1,5,1,5,76.0,WEST,4,3,1,2,4,5,6
